Rank,Name,Ownership,HQ,CEO,CEO pay,Revenue,Fossil fuel production,Investment in renewables,Global emissions 1965-2017,Projected increase in production 2018-30,Projected emissions 2018-30,Future projects,Projected future emissions 2018-30,Environmental disaster,Projected future increase in production 2018-30,Future project,Chairman and managing director,Managing director pay,Environmental scandal,Coal sold a day
1,"Saudi Aramco, Saudi Arabia",State,"Dhahran, Saudi Arabia",Amin H Nasser,Undisclosed,$355.9bn in 2018,13.6m barrels of oil equivalent a day,$1.51bn worth of renewable energy projects tendered in 2019,"59,262m tonnes of CO2, 4.38% of global total",7.2%,"27,035m tonnes of CO2","$18bn investment in extending Marjan and Berri oilfields off the eastern coast of Saudi Arabia to extract another 550,000 barrels per day",,,,,,,,
2,"Chevron, US",Shareholder,"San Ramon, California, US",Michael Wirth,$20.6m for 2018,$158.9bn in 2018,2.93m barrels of oil equivalent a day,Chevron Technology Ventures launched its Future Energy Fund with $100m in June 2018. The company says it has also invested $1.1bn in carbon capture and storage projects,"43,345m tonnes of CO2, 3.2% of global total",20%,,"Has a $20bn plan to expand drilling during 2019, including in the Tengiz oilfield in Kazakhstan and the Permian basin in Texas","7,288m tonnes of CO2","Blamed for polluting activities in the Ecuadorian Amazon, although an international tribunal has said it is not liable for damages. Also blamed for oil spills in Angola and Brazil",,,,,,
3,"Gazprom, Russia",State,"Moscow, Russia",Alexey Miller,Undisclosed since 2015. £27m for 2014,$126.5bn in 2018,9.7m barrels of oil equivalent a day,N/A,"43,230m tonnes of CO2, 3.19% of global total",3%,"18,381m tonnes of CO2",The Yamal megaproject is a long-term plan to “exploit and bring to the markets” the vast natural gas reserves in the Yamal Peninsula in Siberia. Gazprom says the centre will eventually produce up to 360bn cubic metres of gas a year,,The capture and imprisonment of 30 Greenpeace environmental campaigners who tried to occupy a Gazprom drilling platform in the Arctic drew worldwide condemnation,,,,,,
4,"ExxonMobil, US",Shareholder,"Irving, Texas, US",Darren Woods,$18.8m for 2018,$290bn in 2018,3.7m barrels of oil equivalent a day,"In May, Exxon announced $100m over 10 years in emissions-reduction technologies. It has also said it will use wind and solar to power its Texas oilfields","41,904m tonnes of CO2, 3.09% of global total",35%,"10,446m tonnes of CO2","Exxon has a goal of boosting its annual earnings potential by more than 140% by 2025 via a glut of major projects in Texas, Guyana, Brazil, Mozambique and Papua New Guinea. These projects are expected to increase Exxon’s production to around five million oil equivalent barrels a day by 2025",,"In March 1989 the Exxon Valdez, an oil tanker owned by the Exxon Shipping Company, struck a reef off the Alaska coast. About 37,000 tonnes of oil was spilled into the sea within a few days, befouling more than 1,000 miles of coastline in a remote, relatively untouched area. It remains one of the worst environmental disasters caused by humans",,,,,,
5,National Iranian Oil Co,State,"Tehran, Iran",Masoud Karbasian,Undisclosed,"$60bn in 2018, according to Opec",4m barrels of oil equivalent a day,N/A,"35,658m tonnes of CO2 2.63% of global total",,,"Huge expansion planned in the coming 10 years that would make this the world’s biggest oil and gas company, although oil production is reportedly at the lowest level since the 1980s as a result of US sanctions ","15,132m tonnes of CO2","The collision of the Iranian tanker Sanchi in January 2018 was the worst oil ship disaster in decades. All 32 crew died and three oil slicks spread over 332 sq km (128 sq miles), raising fears of seafood contamination",9.7%,,,,,
6,"BP, UK",Shareholder,"London, UK",Bob Dudley,$14.7m for 2018,$304bn in 2018,2.35m barrels of oil equivalent a day,About $0.5bn of BP’s $15bn-$16bn capital expenditure programme,"34,015m tonnes of CO2, 2.51% of global total",20.1%,,"The Mad Dog Phase 2 project – in which BP will work alongside BHP and Chevron in 4,500ft of water in the Gulf of Mexico – has the capacity to produce up to 140,000 gross barrels of crude oil per day from 14 production wells. The Mad Dog area is estimated to hold 4bn barrels of oil equivalent.","7,634m tonnes of CO2","The Deepwater Horizon oil spill in the Gulf of Mexico in April 2010 was the largest in history. A BP drilling rig exploded, killing 11 workers and spewing about 4m barrels of oil into the Gulf. Experts say it had a devastating environmental impact that altered the basic building blocks of life in the ocean",,,,,,
7,"Royal Dutch Shell, Netherlands",Shareholder,"The Hague, Netherlands",Ben van Beurden,$22m for 2018,$388bn in 2018,3.6m barrels of oil equivalent a day in 2018,"$1-$2bn a year (2018-19), or 4-6% of its $25-$30bn annual investment","31,948m tonnes of CO2, 2.36% of global total",37.6%,,,"9,403m tonnes of CO2","In May 2016 an estimated 2,100 barrels of oil, nearly 90,000 gallons, spilled into the Gulf of Mexico – leaked from an undersea pipeline system operated off the Louisiana coast",,"A plan for massive oil and gas fracking in Sierras Blancas, Neuquén, Argentina, of up to 70,000 barrels of oil equivalent per day by the mid-2020s",,,,
8,"Coal India, India",State and shareholder,"Kolkata, India",,,$14.8bn for 2018-19 financial year,600m tonnes of coal in 2018-19 financial year,N/A,"23,124m tonnes of CO2, 1.71% of global total",,,,,,,"Magadh expansion, Karo",Anil Jha,"5,330,042 rupees (£61,123.79) – part year from July 2018",,
9,"Pemex, Mexico",State,"Mexico City, Mexico",Octavio Romero Oropeza,Undisclosed,$85bn in 2018,2.5m barrels of oil equivalent a day,N/A,"22,645m tonnes of CO2, 1.67% of global total",-23%,,The company says it will focus on shallow water projects rather than costly and technologically complex deepwater projects in the Gulf of Mexico in the coming years,"3,577m tonnes of CO2",,,,,,"Bribery and tax fraud charges were filed earlier this year against the former head of the state-run oil company, who is accused of receiving bribes in connection with the oil company’s purchase of a fertiliser plant",
10,Petróleos de Venezuela (PDVSA),State,"Caracas, Venezuela",Manuel Quevedo,Undisclosed,"$34.6bn in 2018, according to Opec",1.6m barrels of oil equivalent a day,N/A,"15,745m tonnes of CO2, 1.16% of global total",-12.7%,,,"2,505m tonnes of CO2","An explosion at Paraguaná, Venezuela’s biggest oil refinery, in 2012 killed 42 people, damaged 1,600 homes and sent plumes of carbon dioxide and toxic chemicals into the sky",,"Oil reserves in Venezuela are the biggest in the world, but US sanctions and political chaos mean production has slumped nearly 80% since 2012",,,,
